"GTA";"Data";"Finalidade";"Machos";"Femeas";"Codigo_Propriedade_Origem";"Propriedade_Origem";"Lat_or";"Long_or";"IBGE_origem";"Municipio_origem";"Codigo_Propriedade_Destino";"Propriedade_Destino";"Lat_de";"Long_de";"IBGE_destino";"Municipio_destino";"Especie"
21513;"10/12/2015";"ENGORDA";19;1;538055;"Propriedade Jonie";-21.7141870479229;-54.6770903980695;5007208;"Rio Brilhante";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
12048;"13/4/2015";"ENGORDA";16;21;580346;"Propriedade Armando";-19.4823135240806;-54.1686328005413;5001508;"Bandeirantes";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
19857;"13/4/2015";"REPRODUCAO";18;0;538055;"Propriedade Jonie";-21.7141870479229;-54.6770903980695;5007208;"Rio Brilhante";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
29594;"26/12/2015";"ENGORDA";4;1;510098;"Propriedade Ardith";-21.4295644054456;-54.9963726342021;5006002;"Nova Alvorada do Sul";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
27006;"23/11/2015";"REPRODUCAO";11;9;589474;"Propriedade Jasmin";-22.1662878970509;-54.2561579972172;5007208;"Rio Brilhante";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
28425;"4/6/2015";"REPRODUCAO";9;3;586607;"Propriedade Maxine";-20.9530062288086;-55.2741765876723;5007901;"Sidrolândia";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
22885;"29/3/2015";"ENGORDA";1;5;519776;"Propriedade Julius";-21.661758719894;-54.3957831904059;5007208;"Rio Brilhante";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
28012;"21/2/2015";"REPRODUCAO";19;21;527547;"Propriedade Luther";-21.5471730860943;-55.3932370436334;5005400;"Maracaju";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
20213;"5/7/2015";"ENGORDA";29;0;564496;"Propriedade Elliott";-20.3610770365077;-55.0377699724607;5003108;"Corguinho";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
19401;"1/3/2015";"ENGORDA";3;11;530341;"Propriedade Vergie";-22.0354918535207;-55.0154094145105;5003504;"Douradina";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
22739;"9/4/2015";"REPRODUCAO";7;23;568497;"Propriedade Maribel";-21.7445285946931;-54.1194982688244;5007208;"Rio Brilhante";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
11090;"5/6/2015";"ENGORDA";7;4;591113;"Propriedade Verda";-21.4565004766306;-54.6856618970367;5007208;"Rio Brilhante";554148;"Propriedade Luetta";-21.8067143057865;-55.13718782749;5006606;"Ponta Porã";"Bovinos"
